epoch,lr,train_mse,val_mse,val_r2,epoch_time_s
1,0.001,0.10612047627988344,0.07824505865573883,0.16444934904575348,95.19835186004639
2,0.001,0.08959879519828715,0.14176781475543976,-0.5811771750450134,98.2589020729065
3,0.001,0.0734393958675723,0.21773774921894073,-1.4082918167114258,99.8410530090332
4,0.001,0.07158406631122181,0.20802335441112518,-1.2914490699768066,106.3611707687378
5,0.001,0.06698920095886164,0.17150504887104034,-0.8716964721679688,128.1952362060547
6,0.001,0.06654499523082183,0.14270076155662537,-0.5399453639984131,122.36257410049438
7,0.001,0.06479471585841519,0.15685227513313293,-0.6912620663642883,110.79883599281311
8,0.0005,0.0651315634276341,0.14737583696842194,-0.588598906993866,122.49139189720154
9,0.0005,0.062243009681132305,0.10510461032390594,-0.1306115835905075,121.25523781776428
10,0.0005,0.061576541741787894,0.09198824316263199,0.011810064315795898,120.59721088409424
11,0.0005,0.06063009482834667,0.09596318751573563,-0.02984817884862423,116.099374294281
12,0.0005,0.06006103276489781,0.0899733304977417,0.035016536712646484,118.38592791557312
13,0.0005,0.05881022577286755,0.08025352656841278,0.1398995965719223,116.54850506782532
14,0.0005,0.057524909192748726,0.08295203745365143,0.11167272180318832,110.19800806045532
15,0.0005,0.05625886028357604,0.07357225567102432,0.21126104891300201,119.34125113487244
16,0.0005,0.054499213041654275,0.076701320707798,0.18113267421722412,126.81962609291077
17,0.0005,0.051573652446665376,0.07107988744974136,0.2421184629201889,122.75179719924927
18,0.0005,0.05021975435328919,0.056007105857133865,0.40652909874916077,120.04960370063782
19,0.0005,0.04789860804826268,0.08324733376502991,0.1139773353934288,118.04181504249573
20,0.0005,0.04786782396052212,0.05065452307462692,0.46193885803222656,116.96103191375732
21,0.0005,0.0458524155107699,0.057603806257247925,0.39310571551322937,118.90872192382812
22,0.0005,0.047686629683075854,0.05852314829826355,0.3870195150375366,118.26427793502808
23,0.0005,0.04206512335249243,0.055746760219335556,0.41703858971595764,122.96728301048279
24,0.0005,0.041986764688199237,0.06796503812074661,0.285768061876297,122.9457700252533
25,0.0005,0.04733405540238565,0.06428451091051102,0.3245881199836731,159.19265604019165
26,0.0005,0.04196462308243535,0.05030707269906998,0.4678432047367096,164.0271511077881
27,0.0005,0.04255281249756244,0.0673927515745163,0.29242926836013794,168.04720377922058
28,0.0005,0.03869139783047325,0.048066116869449615,0.5003273487091064,144.1697108745575
