model,size,run_dir,best_epoch,best_val_mse,train_mse_at_best,val_mse_at_best,test_mse,val_r2,test_r2,generalization_gap,epochs_ran,epochs_planned,seed,n_params
CNN,L,cnn_l_seed42_20260122_233252_seed42,77,0.0131435627117753,0.0106734158656564,0.0131435627117753,0.0137015087530016,0.8569114804267883,0.8416160941123962,0.0024701468461189,80,80,42,6146019
CNN,M,cnn_m_seed42_20260122_163308_seed42,76,0.0092398263514041,0.0079643309431437,0.0092398263514041,0.0118365511298179,0.8977144360542297,0.8621007800102234,0.0012754954082603,80,80,42,1527363
CNN,XL,cnn_xl_seed42_20260123_112702_seed42,75,0.0163506064563989,0.0106472623461909,0.0163506064563989,0.0173275843262672,0.8170373439788818,0.7930538058280945,0.005703344110208,80,80,42,25804675
FNO,L,fno_l_seed42,27,0.0074091773144467,0.00132887911,0.00740917731,0.0086950616314144,0.917638,0.9077143669128418,0.0060802982,42,80,42,14304963
FNO,M,fno_m_seed42,32,0.0072513123172833,0.00170988814,0.00725131232,0.0099906827175709,0.918832,0.8938586115837097,0.00554142418,47,80,42,4260995
FNO,XL,fno_xl_seed42,34,0.0074790676138833,0.000401107558,0.00747906761,0.0083821168075887,0.917542,0.9118464589118958,0.007077960052,49,80,42,42273283
MLP,h64,none,77,0.0105084271377159,0.0087808990777519,0.0105084271377159,0.0113825900480151,0.8723881840705872,0.8795831799507141,0.001727528059964,80,80,42,15683
