model,size,run_dir,best_epoch,best_val_mse,train_mse_at_best,val_mse_at_best,test_mse,val_r2,test_r2,generalization_gap,epochs_ran,epochs_planned,seed
CNN,L,cnn_l_seed42_20260122_233252_seed42,77,0.013143562711775303,0.0106734158656564,0.0131435627117753,0.01370150875300169,0.8569114804267883,0.8416160941123962,0.0024701468461189,80,,42
CNN,M,cnn_m_seed42_20260122_163308_seed42,76,0.00923982635140419,0.0079643309431437,0.0092398263514041,0.011836551129817963,0.8977144360542297,0.8621007800102234,0.0012754954082603992,80,,42
CNN,XL,cnn_xl_seed42_20260123_112702_seed42,75,0.016350606456398964,0.0106472623461909,0.0163506064563989,0.017327584326267242,0.8170373439788818,0.7930538058280945,0.0057033441102080015,80,,42
FNO,L,fno_l_seed42,27,0.007409177314446762,0.00132887911,0.00740917731,0.008695061631414421,0.917638,0.9077143669128418,0.0060802982,42,80,42
FNO,M,fno_m_seed42,32,0.007251312317283347,0.00170988814,0.00725131232,0.009990682717570927,0.918832,0.8938586115837097,0.00554142418,47,80,42
FNO,XL,fno_xl_seed42,34,0.007479067613883305,0.000401107558,0.00747906761,0.00838211680758874,0.917542,0.9118464589118958,0.007077960052,49,80,42
