epoch,lr,train_mse,val_mse,val_r2,epoch_time_s
1,0.001,0.10280877724907687,0.09422667324542999,0.001162151456810534,45.22958302497864
2,0.001,0.07057852946703706,0.07875887304544449,0.16031230986118317,46.324532985687256
3,0.001,0.0629476796322893,0.07394681870937347,0.21091900765895844,46.43594813346863
4,0.001,0.06118703975186222,0.07806511968374252,0.1659918874502182,47.81912899017334
5,0.001,0.05430923027927009,0.0704430639743805,0.2515336573123932,50.78995203971863
6,0.001,0.05159799460550248,0.08183173090219498,0.13086706399917603,56.43407583236694
7,0.001,0.048711019980521936,0.06547454744577408,0.30649247765541077,53.1759717464447
8,0.001,0.047159587516515805,0.07392164319753647,0.2275833636522293,45.76345920562744
9,0.001,0.044489211765786706,0.07350423187017441,0.23738336563110352,46.05460977554321
10,0.001,0.043512065439279594,0.08538632094860077,0.12190083414316177,46.67910099029541
11,0.001,0.04152531532654122,0.10479741543531418,-0.11428576707839966,47.91728496551514
12,0.001,0.04470775646480359,0.0770956352353096,0.1952047348022461,48.04381012916565
13,0.0005,0.0364057618265919,0.10735031217336655,-0.12938494980335236,47.35063409805298
14,0.0005,0.03539579231631795,0.07153356820344925,0.2514708936214447,47.95296502113342
15,0.0005,0.031461199495329786,0.04394543915987015,0.5378668308258057,48.17955303192139
16,0.0005,0.029557003696784254,0.044381458312273026,0.5294645428657532,53.78118705749512
17,0.0005,0.027417868712475247,0.042556729167699814,0.5532469749450684,55.56612992286682
18,0.0005,0.024515358826908504,0.04231628030538559,0.55499666929245,46.44173216819763
19,0.0005,0.0241219836285656,0.04199701175093651,0.5552822947502136,47.034199953079224
20,0.0005,0.023887414590240907,0.038203176110982895,0.5883837938308716,51.14980411529541
21,0.0005,0.02214234267325939,0.03865193575620651,0.5845829844474792,50.870474100112915
22,0.0005,0.021341556846897796,0.0361303985118866,0.6130014061927795,48.27006196975708
23,0.0005,0.02225073624037787,0.030756410211324692,0.6735389828681946,51.515960693359375
24,0.0005,0.01819181144793532,0.03988095372915268,0.5804303288459778,57.68620324134827
25,0.0005,0.01832325950227863,0.031125521287322044,0.6691403388977051,51.43201994895935
26,0.0005,0.01864253986583618,0.03166341781616211,0.6622409224510193,48.54193472862244
27,0.0005,0.016044612943038813,0.02759595774114132,0.7086038589477539,47.856019258499146
28,0.0005,0.016222811497093037,0.034989941865205765,0.6312321424484253,47.44547200202942
29,0.0005,0.017185550019342705,0.02359284833073616,0.7467527985572815,49.398754835128784
30,0.0005,0.015899231703720283,0.020634550601243973,0.780278205871582,53.92448377609253
31,0.0005,0.016183140806569588,0.026003211736679077,0.721512496471405,50.96146893501282
