epoch,lr,train_mse,val_mse,val_r2,epoch_time_s
1,0.001,0.10956180140153686,0.2372506856918335,-1.6389575004577637,227.9356050491333
2,0.001,0.09436948487464072,0.24740171432495117,-1.758266806602478,241.64778685569763
3,0.001,0.08117314589952751,0.35776546597480774,-2.9977200031280518,248.1877830028534
4,0.001,0.07184251033350406,0.24841371178627014,-1.770321249961853,244.63106179237366
5,0.001,0.07414947518118183,0.3578622043132782,-2.9988725185394287,246.89679098129272
6,0.001,0.07294308799465694,0.3578622043132782,-2.9988725185394287,252.00745701789856
7,0.001,0.07054437493062138,0.3578602373600006,-2.9988489151000977,823.6809329986572
8,0.001,0.06941598894732509,0.34378722310066223,-2.8339569568634033,256.37638092041016
9,0.001,0.0692404889830606,0.13906650245189667,-0.5368090271949768,242.00897097587585
10,0.001,0.06736555490426559,0.11199776083230972,-0.2182559370994568,240.45591521263123
11,0.001,0.06565443182960276,0.07648050785064697,0.19175183773040771,242.8014211654663
12,0.001,0.0660450740116548,0.07619299739599228,0.2046891450881958,242.95445680618286
13,0.001,0.06339182038706531,0.07882170379161835,0.1806090623140335,247.9862139225006
14,0.001,0.06256179664759691,0.10198801010847092,-0.09304463863372803,254.35999488830566
15,0.001,0.06170233280998755,0.09252262115478516,-0.0020088355522602797,253.9105942249298
16,0.001,0.06101541457138647,0.06881681084632874,0.26762184500694275,257.6328890323639
17,0.001,0.060304439211168494,0.06604555249214172,0.3072628974914551,261.0699768066406
18,0.001,0.058148933732094454,0.0749785527586937,0.21196293830871582,259.3195598125458
19,0.001,0.060514935188823275,0.06967432051897049,0.2614021599292755,259.0636730194092
20,0.001,0.05911523513310584,0.07636403292417526,0.20131510496139526,258.09648990631104
21,0.001,0.05587059903154721,0.06783511489629745,0.2841615378856659,1002.9116108417511
22,0.001,0.054361436071235746,0.07324367761611938,0.22373341023921967,242.36634421348572
23,0.001,0.052602495961076585,0.06571244448423386,0.30838942527770996,246.35076785087585
24,0.001,0.045613911274703184,0.05565745756030083,0.4117683470249176,258.10282492637634
25,0.001,0.04208726437753113,0.053780145943164825,0.4383096694946289,266.0949580669403
26,0.001,0.045052006735681105,0.06912431120872498,0.2726283371448517,274.0562479496002
27,0.001,0.05100184619723268,0.08374740928411484,0.13235557079315186,269.8486270904541
28,0.001,0.04226871293847438,0.05161127820611,0.4464825689792633,266.1169888973236
29,0.001,0.0369498762572385,0.08996285498142242,0.054556090384721756,274.8263187408447
30,0.001,0.03363835903048318,0.06400954723358154,0.32774174213409424,282.602331161499
31,0.001,0.03005436121812013,0.04782746359705925,0.49781283736228943,1668.059151172638
32,0.001,0.026452571570650854,0.052415601909160614,0.453324556350708,226.59850096702576
33,0.001,0.02602318218085995,0.04496188834309578,0.5252516269683838,265.33395195007324
34,0.001,0.023824243582352675,0.035239122807979584,0.6102002263069153,1214.8669261932373
35,0.001,0.024778779580645498,0.04628880321979523,0.5023199915885925,277.02593994140625
36,0.001,0.022306909738340187,0.026900697499513626,0.702701985836029,249.02131700515747
37,0.001,0.02594788749988004,0.046079494059085846,0.5131073594093323,1862.8810250759125
38,0.001,0.020769531926631335,0.022662051022052765,0.7466734051704407,726.3007910251617
39,0.001,0.020726906237614095,0.027712702751159668,0.6963052153587341,368.6205139160156
40,0.001,0.01927877063083016,0.023671424016356468,0.7383322715759277,419.3972110748291
41,0.001,0.017873623873266218,0.026242956519126892,0.7131727337837219,401.0531849861145
42,0.001,0.019425507186978413,0.02342730201780796,0.740443229675293,334.68738198280334
43,0.001,0.017717799060602685,0.03240377455949783,0.6457889080047607,377.3054277896881
44,0.001,0.018217134297165902,0.028550490736961365,0.6845746040344238,316.5465998649597
45,0.001,0.016611502010060186,0.027046356350183487,0.702946662902832,289.8511850833893
46,0.0005,0.016892471404786332,0.030551176518201828,0.6607758402824402,278.8989701271057
47,0.0005,0.015923997137083937,0.027058323845267296,0.7001768946647644,279.6644353866577
48,0.0005,0.015099702396771405,0.023726999759674072,0.7381313443183899,278.79277324676514
49,0.0005,0.015589927034344444,0.023843245580792427,0.7374610900878906,279.44423818588257
50,0.0005,0.016121495805470704,0.02442137338221073,0.7321455478668213,277.6858329772949
51,0.0005,0.01568252270791068,0.025237226858735085,0.7199417948722839,278.9005980491638
52,0.0005,0.014363919228784876,0.026157259941101074,0.7075751423835754,283.7475447654724
53,0.0005,0.015160276157593055,0.02434682473540306,0.7320569157600403,279.4189429283142
54,0.0005,0.014957981962543814,0.021627267822623253,0.7598255276679993,282.5232660770416
55,0.0005,0.014144610826723018,0.0230114609003067,0.7447522282600403,282.7270200252533
56,0.0005,0.014180884426258887,0.025016263127326965,0.7231512069702148,293.7554280757904
57,0.0005,0.014945943547940967,0.028132382780313492,0.6895801424980164,297.91144704818726
58,0.0005,0.01626892308171709,0.02133735828101635,0.7631335258483887,343.42125606536865
59,0.0005,0.01360981821840873,0.02490849420428276,0.7278013229370117,357.4889762401581
60,0.0005,0.015804098549902834,0.021335886791348457,0.7623310685157776,361.1370589733124
61,0.0005,0.013916634835587015,0.019820373505353928,0.7789428234100342,359.33090806007385
62,0.0005,0.013561957260936647,0.02016957476735115,0.7762101292610168,360.2126281261444
63,0.0005,0.013173864301831569,0.01956760883331299,0.7823830246925354,356.71543407440186
64,0.0005,0.012439239265128452,0.021344102919101715,0.7641218304634094,358.84073305130005
65,0.0005,0.012408268681200681,0.0214240700006485,0.7640419006347656,358.2384259700775
66,0.0005,0.0127380749065534,0.020916135981678963,0.7689201235771179,364.141330242157
67,0.0005,0.011600250112600193,0.020827841013669968,0.7681798934936523,351.5009331703186
68,0.0005,0.011292180563840602,0.021256787702441216,0.7650160193443298,291.1257050037384
69,0.0005,0.011671408399272321,0.023381859064102173,0.7427430152893066,321.3922119140625
70,0.0005,0.011651310620282716,0.02680819481611252,0.7049534916877747,323.3326270580292
71,0.00025,0.011701099599277598,0.025223679840564728,0.719923734664917,324.62564301490784
72,0.00025,0.011073725114253722,0.02181648090481758,0.7570374011993408,320.43115496635437
73,0.00025,0.01064769519650521,0.019289594143629074,0.7852540016174316,322.9386901855469
74,0.00025,0.01067584174319138,0.017117826268076897,0.8084439635276794,324.4986686706543
75,0.00025,0.010647262346190995,0.016350606456398964,0.8170373439788818,323.63548707962036
76,0.00025,0.010315446407035314,0.017158865928649902,0.8095719218254089,322.74715209007263
